标题:【海军联盟&刷经验训练营】	 链接:http://tieba.baidu.com/p/3271667676	 作者: 神盾局吧吧务	 ID:1072028781	 回复数量:187859	
标题:注意到了一个美妙的镜头	 链接:http://tieba.baidu.com/p/5122058307	 作者: 65408083	 ID:352567628	 回复数量:54	
标题:兄弟们，天剑局的版权在福克斯啊	 链接:http://tieba.baidu.com/p/5126654123	 作者: wrj94003149	 ID:219913517	 回复数量:24	
标题:【收视率】神盾局特工S4E22季终	 链接:http://tieba.baidu.com/p/5123004438	 作者: bbtc1088	 ID:92893872	 回复数量:40	
标题:沃德重生，性格大变，重回神盾局？	 链接:http://tieba.baidu.com/p/5130247122	 作者: 47111758	 ID:122671862	 回复数量:3	
标题:话说神盾局这一幕跟奇异博士里面是同一个地方？	 链接:http://tieba.baidu.com/p/5120750821	 作者: 离心之巅12	 ID:1432330637	 回复数量:28	
标题:刚开始追这部剧，根本接受不能沃德和梅滚床单啊！！！	 链接:http://tieba.baidu.com/p/3359555693	 作者: tanyaofen	 ID:99069385	 回复数量:87	
标题:神盾局里的人关系真复杂	 链接:http://tieba.baidu.com/p/5113334782	 作者: f自由f	 ID:1935882717	 回复数量:24	
标题:喜欢博士这角色，所以做了张图	 链接:http://tieba.baidu.com/p/5120834592	 作者: 00wht0	 ID:1037746930	 回复数量:117	
标题:艾达其实不想你走	 链接:http://tieba.baidu.com/p/5110312812	 作者: MJ爱的棉花	 ID:1402318372	 回复数量:223	
标题:一个问题，罗德死了吗	 链接:http://tieba.baidu.com/p/4405370225	 作者: qq12180623	 ID:717548002	 回复数量:39	
标题:看到第三季前几集。。林肯喜欢黛西吗？黛西对林肯的感情。。。	 链接:http://tieba.baidu.com/p/4740691699	 作者: Lynx081	 ID:1107398185	 回复数量:26	
标题:第四季马上就结束了，大家数数从开播到现在有多少坑没填。	 链接:http://tieba.baidu.com/p/5107188710	 作者: 夜车西	 ID:850238160	 回复数量:214	
标题:有没有人觉得她很像芭比	 链接:http://tieba.baidu.com/p/4543913332	 作者: gykkf	 ID:1100885176	 回复数量:238	
标题:希尔特工哪去了？有交代吗	 链接:http://tieba.baidu.com/p/3344659634	 作者: ly_lanseh	 ID:54330504	 回复数量:170	
标题:论污我就服汪可盈	 链接:http://tieba.baidu.com/p/5129904291	 作者: jiajiattx	 ID:579359620	 回复数量:15	
标题:有谁还记得斯凯的第一个男友	 链接:http://tieba.baidu.com/p/5129699943	 作者: 839605	 ID:160721735	 回复数量:6	
标题:最后抓捕主角时候，就在身边的士兵未被影响，说明主角是仿生人	 链接:http://tieba.baidu.com/p/5120800778	 作者: doshsod	 ID:1521403219	 回复数量:106	
标题:[猜测]季终被抓走的是七个仿生机器人！和罗比的协议是……	 链接:http://tieba.baidu.com/p/5120773106	 作者: 丶SUFENTANIL	 ID:2216244990	 回复数量:197	
标题:关于雷神之锤拿不动的问题。。	 链接:http://tieba.baidu.com/p/3592087332	 作者: 楼主怒艹彩色	 ID:891144411	 回复数量:272	
标题:大家有没有对PS感兴趣的啊！！！	 链接:http://tieba.baidu.com/p/5129064562	 作者: 儒雅的美美	 ID:1668847052	 回复数量:2	
标题:那个翻译成“无限战争”的字幕组，有必要和你好好谈谈	 链接:http://tieba.baidu.com/p/5129088061	 作者: flamyelfit16	 ID:640968410	 回复数量:4	
标题:【是bug吗？】第四季第10集开始，梅姨被机器人了，可是，有bug！	 链接:http://tieba.baidu.com/p/5129065891	 作者: 忧郁的热带	 ID:357298425	 回复数量:15	
标题:有怀念芭比的吗?	 链接:http://tieba.baidu.com/p/5126313344	 作者: 2000VWIN	 ID:112477464	 回复数量:18	
标题:大结局简单分析！抛砖引玉，大家根据我的线索肯定能解析出更多！	 链接:http://tieba.baidu.com/p/5129849066	 作者: gtyphoo	 ID:75239454	 回复数量:6	
标题:求教 黑暗神书是哪来的呀，为什么和恶灵骑士有关系啊	 链接:http://tieba.baidu.com/p/5121319965	 作者: 氵丨	 ID:135103340	 回复数量:6	
标题:菲兹王八蛋，你不是人！	 链接:http://tieba.baidu.com/p/5111926727	 作者: 每贴一	 ID:659327372	 回复数量:63	
标题:今天突然想到，艾达会把自己的意识备份一份，	 链接:http://tieba.baidu.com/p/5126652097	 作者: slightcaro	 ID:858573071	 回复数量:15	
标题:框架计划是不是跟人类补全计划有些类似处	 链接:http://tieba.baidu.com/p/5130288986	 作者: 贾君鹏的卡丁	 ID:169739405	 回复数量:3	
标题:看，浩克，天剑局	 链接:http://tieba.baidu.com/p/5124482263	 作者: PlAnEpLaNe12	 ID:2082153305	 回复数量:15	
标题:所以说博士就这么消失了	 链接:http://tieba.baidu.com/p/5120093285	 作者: 漆黑的夜晚53	 ID:1433060971	 回复数量:12	
标题:奥菲莉亚	 链接:http://tieba.baidu.com/p/5124779232	 作者: 待凌	 ID:37084163	 回复数量:23	
标题:造人问题	 链接:http://tieba.baidu.com/p/5129931334	 作者: hao	 ID:459633728	 回复数量:3	
标题:不是随着一声巨响，而是……	 链接:http://tieba.baidu.com/p/5121398011	 作者: LoveJayhear	 ID:834999871	 回复数量:80	
标题:刚刚发现  94年街头霸王电影	 链接:http://tieba.baidu.com/p/5122928046	 作者: tdw12	 ID:4982509	 回复数量:18	
标题:在没有更新的大半年里大家都准备怎么过？	 链接:http://tieba.baidu.com/p/5130603568	 作者: aash	 ID:41957356	 回复数量:0	
标题:街上偶遇WARD，有图有真相	 链接:http://tieba.baidu.com/p/5128529786	 作者: 林无	 ID:490453807	 回复数量:11	
标题:奇异博士为什么翻译成奇异博士，他不是医生吗？为什么不直接译医生	 链接:http://tieba.baidu.com/p/4480146929	 作者: 常州小官	 ID:320859701	 回复数量:307	
标题:【S04E22】宝宝和恶魔做了一笔交易	 链接:http://tieba.baidu.com/p/5120165216	 作者: 风景常	 ID:473839322	 回复数量:435	
标题:是不是下一季要真的要叫神盾特工局 宇宙	 链接:http://tieba.baidu.com/p/5120573961	 作者: 白鸫	 ID:1792064331	 回复数量:49	
标题:YouTube弄来的，大概讲了女主的辛酸史，和对中国血统的看法	 链接:http://tieba.baidu.com/p/5123418765	 作者: sunnycici	 ID:904119794	 回复数量:77	
标题:关于17集，提一点小看法	 链接:http://tieba.baidu.com/p/5069889964	 作者: 未了·浮	 ID:455136872	 回复数量:58	
标题:我隐隐约约觉得这个世界危险了。。。	 链接:http://tieba.baidu.com/p/5129411261	 作者: 易国十九	 ID:643517342	 回复数量:13	
标题:关于第四季口森和罗比的疑问我觉得该从这里说起	 链接:http://tieba.baidu.com/p/5129983414	 作者: 穆深	 ID:368149059	 回复数量:13	
标题:有没有大神可以进来解答一下	 链接:http://tieba.baidu.com/p/5120432243	 作者: 短腿跑不快	 ID:2787794940	 回复数量:25	
标题:求解，。为什么蕾娜会死，难道她	 链接:http://tieba.baidu.com/p/4395552700	 作者: hang670	 ID:695894790	 回复数量:25	
标题:#R.I.PPowers Bo	 链接:http://tieba.baidu.com/p/5122730456	 作者: 小小_黑豆	 ID:571815671	 回复数量:27	
标题:看着你们发剧终的各种坑	 链接:http://tieba.baidu.com/p/5128486838	 作者: 草逆马响彻云	 ID:2353057649	 回复数量:4	
标题:送别一下，最高通缉见	 链接:http://tieba.baidu.com/p/4431861562	 作者: 斑斓小	 ID:637309148	 回复数量:38	
标题:关于第四季口森和罗比的疑问我觉得该从这里说起	 链接:http://tieba.baidu.com/p/5129967114	 作者: 穆深	 ID:368149059	 回复数量:7	
标题:（转）漫威竟然抄袭DC？漫威和DC七大相似的超级英雄。	 链接:http://tieba.baidu.com/p/4386522788	 作者: Alonve丶E	 ID:823576374	 回复数量:270	
标题:搞不明白艾达是怎么获得异人能力的，框架里的异人都是数据	 链接:http://tieba.baidu.com/p/5126544248	 作者: 雪花T	 ID:2228657760	 回复数量:16	
标题:不明白恶灵骑士出现在神盾局里	 链接:http://tieba.baidu.com/p/4823419605	 作者: 库尔特迈	 ID:64871777	 回复数量:55	
标题:寇森和骷髅头的协议……	 链接:http://tieba.baidu.com/p/5124406718	 作者: fernando85051	 ID:148838897	 回复数量:5	
标题:长得好像梅姨啊	 链接:http://tieba.baidu.com/p/5129751413	 作者: 刷牙的河马00	 ID:468804693	 回复数量:3	
标题:怕是HYDRA和V社合作	 链接:http://tieba.baidu.com/p/5130215912	 作者: _________礻	 ID:1070352072	 回复数量:0	
标题:马洛里 詹森 AIDA扮演者	 链接:http://tieba.baidu.com/p/4882792923	 作者: 凤梨不	 ID:817176560	 回复数量:188	
标题:估计沃德第五季回归	 链接:http://tieba.baidu.com/p/5119867144	 作者: pwc	 ID:1034611705	 回复数量:18	
标题:哇，大周三一早醒来以为今天会更新	 链接:http://tieba.baidu.com/p/5130182671	 作者: 风依他	 ID:918059387	 回复数量:0	
标题:看汪可盈了！	 链接:http://tieba.baidu.com/p/3391593989	 作者: jujiwangyangy	 ID:137458364	 回复数量:6	
标题:结局没看懂，季终了吗？	 链接:http://tieba.baidu.com/p/5120430285	 作者: 555潮汐你的	 ID:546135340	 回复数量:179	
标题:美剧拆散一对恋人新方法：框架世界美女强行插足	 链接:http://tieba.baidu.com/p/5103926215	 作者: chacha23310	 ID:3693325	 回复数量:23	
标题:【S04E18】Mace的英雄梦圆了~T_T	 链接:http://tieba.baidu.com/p/5079693807	 作者: 风景常	 ID:473839322	 回复数量:485	
标题:沉入海底的哪个异人呢？	 链接:http://tieba.baidu.com/p/5126881226	 作者: fengyi1234	 ID:80935768	 回复数量:18	
标题:如果可以，你愿意成为一个神盾特工吗？	 链接:http://tieba.baidu.com/p/5127300375	 作者: edfgyhjgdsseg	 ID:966047465	 回复数量:11	
标题:他这个时候回来，是什么意思？？？	 链接:http://tieba.baidu.com/p/5110570747	 作者: ColonelJoh	 ID:1737825673	 回复数量:94	
标题:又跟芭比滚床单了，，，，，真是羡慕死我了。。。。。。。。。	 链接:http://tieba.baidu.com/p/3634886489	 作者: wxj醉	 ID:13829707	 回复数量:59	
标题:有一个问题问问大家	 链接:http://tieba.baidu.com/p/5128548820	 作者: 那一朵莲花	 ID:559652854	 回复数量:2	
标题:现实中有这种飞机吗	 链接:http://tieba.baidu.com/p/2958806998	 作者: princelai6	 ID:98722365	 回复数量:270	
标题:新的神盾迷想问前辈们一些事嘤嘤嘤	 链接:http://tieba.baidu.com/p/5124467354	 作者: Curtain路Lenk	 ID:1581148978	 回复数量:69	
标题:神盾第4季珍玛变鬼了 有图有真相	 链接:http://tieba.baidu.com/p/5127708246	 作者: 虾米帮	 ID:101391212	 回复数量:28	
标题:九头蛇元老吉迪恩·马利克演员鲍沃斯·布斯过世	 链接:http://tieba.baidu.com/p/5117885521	 作者: Sir敏	 ID:1529701071	 回复数量:21	
标题:论神盾局震波女斯凯和黑寡妇娜塔莎	 链接:http://tieba.baidu.com/p/4044773037	 作者: JBWKZ1258	 ID:1098912781	 回复数量:45	
标题:怀特霍尔体内贾颖的器官怎么处理了	 链接:http://tieba.baidu.com/p/3709613484	 作者: 衰神39	 ID:49500193	 回复数量:44	
标题:真希望他们把卡特特工续下去	 链接:http://tieba.baidu.com/p/5116225076	 作者: 傻冒奥特	 ID:79655959	 回复数量:49	
标题:罗比的新能力	 链接:http://tieba.baidu.com/p/5120119055	 作者: D→似水流	 ID:227754576	 回复数量:195	
标题:【S04E13】艾达爱上博士了？！剧透+分析	 链接:http://tieba.baidu.com/p/4971404831	 作者: 风景常	 ID:473839322	 回复数量:735	
标题:恶灵骑士的新绝招？奇异博士的传送门？	 链接:http://tieba.baidu.com/p/5120277417	 作者: 逆闪51	 ID:2498535483	 回复数量:10	
标题:【S04E07剧照】“Deals With Our Devils”	 链接:http://tieba.baidu.com/p/4862922862	 作者: 秦梦	 ID:245396019	 回复数量:54	
标题:神盾局要离开我们了，你们还有什么遗憾嘛？	 链接:http://tieba.baidu.com/p/5084185155	 作者: 拾荒者kel	 ID:1458149746	 回复数量:141	
标题:『A.O.S』寇森是克隆的，很让人难以接受	 链接:http://tieba.baidu.com/p/2801461828	 作者: 穆深	 ID:368149059	 回复数量:13	
标题:《神盾局特工》又出令人振奋的消息，寇森有望成第5季导演	 链接:http://tieba.baidu.com/p/5128114262	 作者: ozm35	 ID:635271992	 回复数量:22	
标题:S4E16浅解析	 链接:http://tieba.baidu.com/p/5059805351	 作者: 狼人fef	 ID:749004112	 回复数量:63	
标题:就我一个人觉得鞭笞和fate中的这位长得很像吗	 链接:http://tieba.baidu.com/p/5124422624	 作者: 庄主最帅1213	 ID:1721225760	 回复数量:10	
标题:放几张艾达的图图	 链接:http://tieba.baidu.com/p/5123010541	 作者: 傻冒奥特	 ID:79655959	 回复数量:48	
标题:谁能告诉我图里有个小标志代表啥	 链接:http://tieba.baidu.com/p/5123668288	 作者: it0白	 ID:195375212	 回复数量:39	
标题:漫威官方推特，预订第五季确定	 链接:http://tieba.baidu.com/p/5112358865	 作者: zhepeng199	 ID:148793971	 回复数量:102	
标题:闲的没事反水一把	 链接:http://tieba.baidu.com/p/5114464533	 作者: CE路051	 ID:2659332394	 回复数量:11	
标题:别找了，沃德在这里	 链接:http://tieba.baidu.com/p/5128449061	 作者: 傲以德FU	 ID:614567976	 回复数量:8	
标题:新的蜂巢已经出现！！！	 链接:http://tieba.baidu.com/p/5128148943	 作者: 卓尔	 ID:751577882	 回复数量:10	
标题:这俩个人的表情真逗	 链接:http://tieba.baidu.com/p/5121499221	 作者: 傻冒奥特	 ID:79655959	 回复数量:53	
标题:这个小东西是啥	 链接:http://tieba.baidu.com/p/5126058839	 作者: 和蔼的嘉峪哦	 ID:899323422	 回复数量:16	
标题:这就是世界结束的方式   不是随着一声巨响，而是......	 链接:http://tieba.baidu.com/p/5124841922	 作者: W90798885	 ID:866472252	 回复数量:27	
标题:我想知道第五季什么开始出。	 链接:http://tieba.baidu.com/p/5129597192	 作者: 103455623	 ID:157642536	 回复数量:0	
标题:奇异博士既视感	 链接:http://tieba.baidu.com/p/5124697528	 作者: HERETICjoj	 ID:1889549171	 回复数量:14	
标题:亨特夫妇怎么领盒饭的？有点忘了	 链接:http://tieba.baidu.com/p/5127969873	 作者: 飞翼尊	 ID:830395233	 回复数量:5	
标题:科尔森仍然可能回归电影，凯文.费吉说了	 链接:http://tieba.baidu.com/p/5117400875	 作者: 小多多	 ID:110050344	 回复数量:60	
标题:艾达不是早就发现了这个珍玛是假	 链接:http://tieba.baidu.com/p/5125224524	 作者: xiaoxiao人lj	 ID:987335527	 回复数量:94	
标题:【下集预告】克里人杀回来了，牺牲的特工猜猜是谁？	 链接:http://tieba.baidu.com/p/4510858651	 作者: 神盾局吧吧务	 ID:1072028781	 回复数量:693	
标题:神盾局和天剑局什么关系？	 链接:http://tieba.baidu.com/p/3401442397	 作者: 小卒summerD	 ID:1168453200	 回复数量:122	
标题:求助贴呜呜呜呜	 链接:http://tieba.baidu.com/p/5129411901	 作者: 森屿家的团	 ID:1884848379	 回复数量:2	
标题:没有人觉得他很帅吗	 链接:http://tieba.baidu.com/p/4474565075	 作者: 小光头舟	 ID:878227450	 回复数量:58	
标题:塔伯特被爆头居然不死？！	 链接:http://tieba.baidu.com/p/5120236252	 作者: 槑槑de大正	 ID:847963083	 回复数量:183	
标题:博士后面想说什么	 链接:http://tieba.baidu.com/p/5121889220	 作者: 夏天而来的	 ID:1205956715	 回复数量:15	
标题:究竟是hai hydra 还是heil hydra,	 链接:http://tieba.baidu.com/p/5070464716	 作者: 夏天而来的	 ID:1205956715	 回复数量:29	
标题:楼主诚挚的致歉各位朋友	 链接:http://tieba.baidu.com/p/5124706834	 作者: 小心翼翼男	 ID:2820877192	 回复数量:52	
标题:是时候表明身份了	 链接:http://tieba.baidu.com/p/5126455543	 作者: shiyiquanshu	 ID:222803816	 回复数量:20	
标题:总觉得22集没有看懂，很多疑问	 链接:http://tieba.baidu.com/p/5129067631	 作者: Mr丶Chocola	 ID:2829083823	 回复数量:6	
标题:神盾局会被砍？被砍就证明漫威是SB	 链接:http://tieba.baidu.com/p/5054825354	 作者: jyoteiay	 ID:604600157	 回复数量:50	
标题:我就知道维杰不可能那么轻易死掉	 链接:http://tieba.baidu.com/p/4937418424	 作者: 启萌mm_0	 ID:33645667	 回复数量:13	
标题:恶灵骑士怎么消退的，记不起来了	 链接:http://tieba.baidu.com/p/5112960476	 作者: liuyl042	 ID:661354807	 回复数量:3	
标题:不符合万有引力啊	 链接:http://tieba.baidu.com/p/5119988584	 作者: 夏天而来的	 ID:1205956715	 回复数量:94	
标题:看看谁来了？？？	 链接:http://tieba.baidu.com/p/4993467142	 作者: 01R	 ID:743408508	 回复数量:69	
标题:居然不是饭制。。《九头蛇特工》	 链接:http://tieba.baidu.com/p/4998882512	 作者: 拾荒者kel	 ID:1458149746	 回复数量:13	
标题:奥菲莉亚还是席梦思	 链接:http://tieba.baidu.com/p/5100964841	 作者: 当破晓遇见黄	 ID:945332795	 回复数量:396	
标题:第五季科尔森到天剑局混了？	 链接:http://tieba.baidu.com/p/5127697190	 作者: 深知自己爱自	 ID:999719449	 回复数量:5	
标题:【轻科普】自己解释，关于恶灵骑士的回归和能力	 链接:http://tieba.baidu.com/p/5110492435	 作者: 诗和离别	 ID:3037661617	 回复数量:166	
标题:老戏骨Powers Boothe逝世	 链接:http://tieba.baidu.com/p/5116717813	 作者: hz_alon	 ID:87238412	 回复数量:64	
标题:看完银河护卫队2了吗？看完来玩游戏吧！	 链接:http://tieba.baidu.com/p/5118272008	 作者: 15044701680ly	 ID:904196309	 回复数量:10	
标题:哇，最后一幕是传说中的数码宝贝超进化啊！	 链接:http://tieba.baidu.com/p/4940322127	 作者: 孤い	 ID:85663677	 回复数量:8	
标题:楼楼自制昆式二代	 链接:http://tieba.baidu.com/p/4953407658	 作者: v少少	 ID:2127902356	 回复数量:36	
标题:第二十二集结尾什么意思！	 链接:http://tieba.baidu.com/p/5120311581	 作者: 爱笑的111	 ID:1254825517	 回复数量:1	
标题:（马后炮）讨论帖：梅斯局长在框架里应不应该救那个孩子	 链接:http://tieba.baidu.com/p/5123567248	 作者: hao	 ID:459633728	 回复数量:48	
标题:这一段意味深长 ，人生充满了无奈。	 链接:http://tieba.baidu.com/p/5120719364	 作者: aceshuttl	 ID:2065077410	 回复数量:56	
